"provided","standard"
"Travis","Travis"
"Tarrant","Tarrant"
"Harris","Harris"
"Cache","Cache"
"Duchesne","Duchesne"
"Emery","Emery"
"Grand","Grand"
"Juab","Juab"
"Kane","Kane"
"Millard","Millard"
"Piute","Piute"
"Sanpete","Sanpete"
"Tooele","Tooele"
"Uintah","Uintah"
"Box Elder","Box Elder"
"Wasatch","Wasatch"
"Davis","Davis"
"Weber","Weber"
"Utah","Utah"
"Salt Lake","Salt Lake"
"Caledonia","Caledonia"
"Grand Isle","Grand Isle"
"Addison","Addison"
"Bennington","Bennington"
"Lamoille","Lamoille"
"Rutland","Rutland"
"Windham","Windham"
"Windsor","Windsor"
"Chittenden","Chittenden"
"Accomack","Accomack"
"Albemarle","Albemarle"
"Amelia","Amelia"
"Amherst","Amherst"
"Appomattox","Appomattox"
"Augusta","Augusta"
"Botetourt","Botetourt"
"Bristol city","Bristol city"
"Buckingham","Buckingham"
"Buena Vista city","Buena Vista city"
"Charles City","Charles City"
"Charlotte","Charlotte"
"Colonial Heights city","Colonial Heights city"
"Culpeper","Culpeper"
"Danville city","Danville city"
"Dinwiddie","Dinwiddie"
"Emporia city","Emporia city"
